loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
1,11 Com,Radial Velocity,1,326.03,1.29,0.231,,185.179276,17.792868,4742,2.7,19,,
2,11 UMi,Radial Velocity,1,516.21997,1.53,0.08,,229.274536,71.823898,4213,2.78,29.79,4684.8142,
3,14 And,Radial Velocity,1,185.84,0.83,0,,352.822571,39.236198,4813,2.2,11,,
4,14 Her,Radial Velocity,1,1773.40002,2.93,0.37,,242.601303,43.817646,5338,0.9,0.93,1481.0878,
5,16 Cyg B,Radial Velocity,1,798.5,1.66,0.68,,295.466553,50.517525,5750,1.08,1.13,565.7374,
6,18 Del,Radial Velocity,1,993.3,2.6,0.08,,314.608063,10.839286,4979,2.3,8.5,,
7,1RXS J160929.1-210524,Imaging,1,,330,,,242.376268,-21.083036,4060,0.85,,3000,
8,24 Boo,Radial Velocity,1,30.3506,0.19,0.042,,217.157547,49.844852,4893,0.99,10.64,,
9,24 Sex,Radial Velocity,2,452.8,1.333,0.09,,155.86821,-0.902244,5098,1.54,4.9,,
10,24 Sex,Radial Velocity,2,883,2.08,0.29,,155.86821,-0.902244,5098,1.54,4.9,,
11,2MASS J01225093-2439505,Imaging,1,,52,,,20.712243,-24.664049,3530,0.4,,7786.5,
12,2MASS J02192210-3925225,Imaging,1,,156,,,34.842106,-39.422928,3064,0.11,0.28,4417.837,16.141
13,2MASS J04414489+2301513,Imaging,1,,15,,,70.437073,23.030941,,0.02,,2383.6,
14,2MASS J12073346-3932539,Imaging,1,,46,,,181.889447,-39.548332,,0.02,,1271,
15,2MASS J19383260+4603591,Eclipse Timing Variations,1,416,0.92,,,294.635865,46.066418,,0.48,,603.877,
16,2MASS J21402931+1625183 A,Imaging,1,7336.5,,0.26,,325.122159,16.421759,2300,0.08,0.12,6657.48,10.31
17,2MASS J22362452+4751425,Imaging,1,,230,,,339.102203,47.86182,4045,0.6,,3972.875,
18,30 Ari B,Radial Velocity,1,335.10001,0.99,0.29,,39.240585,24.648064,6331,1.93,1.41,4392.4106,
19,4 UMa,Radial Velocity,1,269.3,0.87,0.432,,130.053406,64.327934,4415,1.23,18.11,,
20,42 Dra,Radial Velocity,1,479.1,1.19,0.38,,276.496399,65.563484,4200,0.98,22.03,,
21,47 UMa,Radial Velocity,3,1078,2.1,0.032,,164.866562,40.430256,5892,1.03,1.23,,
